id,location,depth,mag,energy,place,date,time
us6000c52d,us,10,4.7,3.16E+16,"38 km NE of BaÃ±os, Ecuador",10/3/2020,12:11 AM
us6000c52g,us,10,2.6,2.51E+14,"26 km NE of Lowman, Idaho",10/3/2020,12:38 AM
us6000c530,us,35,4.3,1.26E+16,"34 km WSW of Puerto Madero, Mexico",10/3/2020,2:18 AM
us6000c532,us,35,3.7,3.16E+15,"73 km SW of Atka, Alaska",10/3/2020,2:33 AM
us6000c53b,us,128.48,4.9,5.01E+16,"23 km SSW of Pondaguitan, Philippines",10/3/2020,3:25 AM
us6000c53d,us,35,2.6,2.51E+14,"35 km NW of San Antonio, Puerto Rico",10/3/2020,3:42 AM
us6000c53m,us,5,2.6,2.51E+14,"51 km NW of Toyah, Texas",10/3/2020,4:08 AM
us6000c547,us,182.37,4.7,3.16E+16,"9 km NNW of Sabang, Philippines",10/3/2020,5:03 AM
us6000c54h,us,119.88,4.5,2.00E+16,"43 km SW of La Rioja, Argentina",10/3/2020,7:04 AM
us6000c54r,us,98.14,2.8,3.98E+14,"10 km S of SalvaleÃ³n de HigÃ¼ey, Dominican Republic",10/3/2020,7:54 AM
us6000c54x,us,59.21,5.5,2.00E+17,"188 km SSE of Tateyama, Japan",10/3/2020,9:31 AM
us6000c56c,us,34.27,5.1,7.94E+16,"41 km SSE of Koshima, Japan",10/3/2020,12:26 PM
us6000c56t,us,10,5.2,1.00E+17,eastern Greenland,10/3/2020,1:22 PM
us6000c57g,us,38.03,4.7,3.16E+16,"4 km W of Bacsay, Philippines",10/3/2020,2:15 PM
us6000c584,us,44.3,4.2,1.00E+16,"21 km WSW of HÄjo, India",10/3/2020,3:36 PM
us6000c588,us,14.93,5.4,1.58E+17,"120 km SSE of Kandrian, Papua New Guinea",10/3/2020,4:30 PM
us6000c589,us,5.09,4.8,3.98E+16,South Shetland Islands,10/3/2020,4:26 PM
us6000c599,us,13.43,2.7,3.16E+14,"61 km SSW of Shungnak, Alaska",10/3/2020,6:35 PM
us6000c59c,us,10,5,6.31E+16,South Shetland Islands,10/3/2020,6:37 PM
us6000c5a9,us,618.31,4.5,2.00E+16,Fiji region,10/3/2020,8:04 PM
us6000c5b0,us,47.03,4.6,2.51E+16,"24 km E of Cortes, Philippines",10/3/2020,10:19 PM
us6000c5b3,us,399.64,4.6,2.51E+16,"197 km E of Kokopo, Papua New Guinea",10/3/2020,10:53 PM
us6000c5c2,us,10,4.8,3.98E+16,"131 km SSW of LotofagÄ, Samoa",10/4/2020,2:18 AM
us6000c5c4,us,33.65,4.8,3.98E+16,"41 km SSE of Koshima, Japan",10/4/2020,2:51 AM
us6000c5cl,us,96.35,5.1,7.94E+16,"200 km SSE of Lata, Solomon Islands",10/4/2020,3:35 AM
us6000c5cm,us,35,4.1,7.94E+15,"22 km NNW of El SÃºchil, Mexico",10/4/2020,3:36 AM
us6000c5e0,us,42.09,4.8,3.98E+16,"195 km WSW of Adak, Alaska",10/4/2020,7:11 AM
us6000c5ef,us,53.76,5.1,7.94E+16,"187 km SSW of Severo-Kurilâ€™sk, Russia",10/4/2020,9:17 AM
us6000c5ej,us,558.56,4.5,2.00E+16,"210 km ENE of Levuka, Fiji",10/4/2020,9:23 AM
us6000c5eq,us,65.85,4.7,3.16E+16,"120 km SE of Lata, Solomon Islands",10/4/2020,9:35 AM
us6000c5f8,us,4.3,1.1,7.94E+12,"23 km N of Blanca, Colorado",10/2/2020,12:23 AM
us6000c5fi,us,5.83,1.1,7.94E+12,"24 km NNE of Blanca, Colorado",10/3/2020,3:10 AM
us6000c5fr,us,15.99,3.1,7.94E+14,"1 km WSW of San Pablo Viejo Abajo, Panama",10/4/2020,10:50 AM
us6000c5hh,us,74.69,4.3,1.26E+16,"60 km W of Yenangyaung, Myanmar",10/4/2020,4:00 PM
us6000c5hp,us,10,4.5,2.00E+16,"37 km SSW of San Carlos, Mexico",10/4/2020,5:13 PM
us6000c5hv,us,59.59,4.9,5.01E+16,"108 km SSE of Lata, Solomon Islands",10/4/2020,5:36 PM
us6000c5i4,us,121.85,5.6,2.51E+17,"Mindoro, Philippines",10/4/2020,6:16 PM
us6000c5ip,us,51.53,4.8,3.98E+16,"30 km N of Petit Valley, Trinidad and Tobago",10/4/2020,7:12 PM
us6000c5it,us,10,2.8,3.98E+14,"40 km NNW of Stanley, Idaho",10/4/2020,7:36 PM
us6000c5j3,us,35.01,4.7,3.16E+16,"27 km ENE of Moyobamba, Peru",10/4/2020,8:21 PM
us6000c5jq,us,15.22,4.5,2.00E+16,"65 km S of OrocuÃ©, Colombia",10/4/2020,9:32 PM
us6000c5k0,us,10,4,6.31E+15,"25 km SSW of Karaton, Kazakhstan",10/4/2020,10:33 PM
us6000c5k4,us,10,4.1,7.94E+15,"104 km SE of King Cove, Alaska",10/4/2020,11:19 PM
us6000c5k6,us,10,4.9,5.01E+16,"121 km ESE of Pangai, Tonga",10/4/2020,11:20 PM
us6000c5kq,us,10,4.9,5.01E+16,"51 km NE of Pangai, Tonga",10/5/2020,1:10 AM
us6000c5kv,us,31.16,2.8,3.98E+14,"52 km SSE of Sand Point, Alaska",10/5/2020,1:41 AM
us6000c5kz,us,10,5,6.31E+16,"209 km SSW of Lajes das Flores, Portugal",10/5/2020,1:27 AM
us6000c5l1,us,81.1,4.9,5.01E+16,"21 km E of ÅŒarai, Japan",10/5/2020,2:32 AM
us6000c5l3,us,71.48,4.9,5.01E+16,"100 km W of Waingapu, Indonesia",10/5/2020,3:07 AM
us6000c5lj,us,10,4.5,2.00E+16,West Chile Rise,10/5/2020,4:39 AM
us6000c5m0,us,10,5.2,1.00E+17,"195 km E of Tadine, New Caledonia",10/5/2020,7:12 AM
us6000c5m9,us,213.42,4.8,3.98E+16,"95 km N of Manado, Indonesia",10/5/2020,7:30 AM
us6000c5ms,us,10,5.2,1.00E+17,Pacific-Antarctic Ridge,10/5/2020,8:48 AM
us6000c5mu,us,99.97,4.5,2.00E+16,"86 km SSE of Vilyuchinsk, Russia",10/5/2020,9:04 AM
us6000c5n9,us,10,4.7,3.16E+16,southeast of the Loyalty Islands,10/5/2020,11:03 AM
us6000c5p5,us,5.69,1.1,7.94E+12,"4 km S of Hoehne, Colorado",10/4/2020,1:20 AM
us6000c5p7,us,120.29,5.1,7.94E+16,Vanuatu,10/5/2020,1:03 PM
us6000c5pr,us,64.42,4.7,3.16E+16,"3 km W of Yamada, Japan",10/5/2020,2:01 PM
us6000c5t3,us,126.53,5.3,1.26E+17,"Maug Islands region, Northern Mariana Islands",10/5/2020,7:04 PM
us6000c5t4,us,10,5.2,1.00E+17,South Shetland Islands,10/5/2020,7:01 PM
us6000c5tp,us,34.08,3.7,3.16E+15,"17 km W of Iquique, Chile",10/5/2020,7:28 PM
us6000c5y3,us,10,5.2,1.00E+17,"149 km E of Leh, India",10/5/2020,11:43 PM
us6000c5y6,us,10,4.9,5.01E+16,"161 km E of Amahai, Indonesia",10/6/2020,12:16 AM
us6000c5yw,us,2.44,1.4,1.58E+13,Wyoming,10/6/2020,3:12 AM
us6000c5ze,us,10,5.4,1.58E+17,northern Mid-Atlantic Ridge,10/6/2020,4:24 AM
us6000c5zf,us,10,4.9,5.01E+16,"160 km WSW of Lebu, Chile",10/6/2020,5:06 AM
us6000c5zg,us,6.05,2.3,1.26E+14,"12 km NNW of Midland, Texas",10/6/2020,5:13 AM
us6000c5zm,us,30.42,5.9,5.01E+17,"68 km SE of Sand Point, Alaska",10/6/2020,5:54 AM
us6000c5zr,us,10,4.6,2.51E+16,"139 km E of Leh, India",10/6/2020,6:13 AM
us6000c5zs,us,35,4,6.31E+15,"5 km SSW of Santiago Xanica, Mexico",10/6/2020,6:19 AM
us6000c5zw,us,92.77,4.6,2.51E+16,"7 km SSE of Yamada, Japan",10/6/2020,6:27 AM
us6000c60p,us,101.52,5,6.31E+16,"13 km W of Ternate, Indonesia",10/6/2020,8:47 AM
us6000c617,us,628.77,6,6.31E+17,"231 km E of Levuka, Fiji",10/6/2020,10:11 AM
us6000c618,us,10,3.4,1.58E+15,off the coast of Oregon,10/6/2020,10:13 AM
us6000c63c,us,45.98,4.9,5.01E+16,"67 km W of Luwuk, Indonesia",10/6/2020,1:17 PM
us6000c63f,us,45.66,4,6.31E+15,"82 km NNE of Tocopilla, Chile",10/6/2020,1:25 PM
us6000c63i,us,40.83,4.8,3.98E+16,"62 km ENE of Cortes, Philippines",10/6/2020,1:22 PM
us6000c63n,us,35,4.9,5.01E+16,"148 km S of Dampit, Indonesia",10/6/2020,1:52 PM
us6000c63r,us,10,5.3,1.26E+17,South Shetland Islands,10/6/2020,1:56 PM
us6000c650,us,6.93,4.4,1.58E+16,"138 km SW of La Esperanza (El Zapotal), Mexico",9/30/2020,5:40 PM
us6000c654,us,44.34,4,6.31E+15,"57 km ENE of Kinablangan, Philippines",9/30/2020,8:48 PM
us6000c658,us,496.5,4.1,7.94E+15,south of the Fiji Islands,9/30/2020,5:41 PM
us6000c65a,us,10,4.6,2.51E+16,"100 km NW of Port-Vila, Vanuatu",9/30/2020,8:03 PM
us6000c66h,us,46.14,4.4,1.58E+16,"97 km SW of KÃ½thira, Greece",10/6/2020,5:21 PM
us7000bj1t,us,72.83,4.9,5.01E+16,"124 km SSW of Abepura, Indonesia",9/6/2020,8:51 PM
us7000bj24,us,11.31,2.7,3.16E+14,"57 km S of Whites City, New Mexico",9/6/2020,9:13 PM
us7000bj2h,us,31.73,5,6.31E+16,"75 km ESE of Kitaibaraki, Japan",9/6/2020,9:33 PM
us7000bj2i,us,10,5.2,1.00E+17,"15 km SSW of Ä€zÄdshahr, Iran",9/6/2020,9:34 PM
us7000bj3j,us,114.8,4.9,5.01E+16,"57 km SSW of Shimoda, Japan",9/6/2020,11:49 PM
us7000bj3k,us,213.16,4.5,2.00E+16,"74 km WSW of Uyuni, Bolivia",9/7/2020,12:00 AM
us7000bj3l,us,10,4.5,2.00E+16,"101 km SE of Hasaki, Japan",9/6/2020,11:52 PM
us7000bj3p,us,10,5,6.31E+16,Falkland Islands region,9/7/2020,12:01 AM
us7000bj4a,us,5,3,6.31E+14,"49 km NW of Toyah, Texas",9/7/2020,1:16 AM
us7000bj4b,us,9.47,4.3,1.26E+16,"103 km NW of Vallenar, Chile",9/7/2020,1:27 AM
us7000bj4c,us,53.16,4.3,1.26E+16,"54 km ESE of Kushiro, Japan",9/7/2020,1:19 AM
us7000bj4n,us,17.43,4.1,7.94E+15,"130 km WSW of Vallenar, Chile",9/7/2020,2:18 AM
us7000bj4y,us,46.99,3.9,5.01E+15,"66 km ESE of Sand Point, Alaska",9/7/2020,2:49 AM
us7000bj61,us,61.59,4.1,7.94E+15,"50 km WSW of Illapel, Chile",9/7/2020,4:39 AM
us7000bj63,us,10,5,6.31E+16,"91 km NW of Port-Vila, Vanuatu",9/7/2020,4:41 AM
us7000bj6y,us,10,6,6.31E+17,"72 km NNE of Port-Vila, Vanuatu",9/7/2020,6:12 AM
us7000bj71,us,10,5.7,3.16E+17,"66 km NNE of Port-Vila, Vanuatu",9/7/2020,6:29 AM
us7000bj7d,us,10,4.8,3.98E+16,"142 km SE of San Jose Village, Northern Mariana Islands",9/7/2020,7:32 AM
us7000bj7j,us,103.7,4.7,3.16E+16,"141 km SSW of Tomohon, Indonesia",9/7/2020,8:06 AM
us7000bj9j,us,10,4.8,3.98E+16,North Indian Ocean,9/7/2020,11:34 AM
us7000bj9u,us,10,2.4,1.58E+14,"8 km W of Stanley, Idaho",9/7/2020,11:47 AM
us7000bjam,us,10,4.6,2.51E+16,"96 km N of Opotiki, New Zealand",9/7/2020,3:21 AM
